Municipio,Provincia,Lugar,Dirección,Fecha,Hora,Ojo,Latitud,Longitud,Convoca,Marca en porceuta.es,Notas,Estado,Fuente
Ávila,Ávila,Plaza de Santa Teresa,,2026-09-02,20:00,,"40,6566","-4,7009",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Casillas,Ávila,Plaza de España,,2026-09-02,20:00,,"40,3256422","-4,5711323",Ayuntamiento de Casillas,Difundida,,Solo en porceuta.es,porceuta.es
Sotillo de la Adrada,Ávila,Plaza del Ayuntamiento,,2026-09-02,20:00,,"40,2920324","-4,5826532",Ayuntamiento de Sotillo de la Adrada,Difundida,,Solo en porceuta.es,porceuta.es
Almendralejo,Badajoz,Plaza del ayuntamiento,"Plaza del ayuntamiento, 06200",2026-09-02,20:00,,"38,684679","-6,40678",,Confirmada,Todos con Ceuta,Publicada,Ambas
Azuaga,Badajoz,Plaza de La Merced,Plaza de La Merced,2026-09-02,20:00,,"38,259215","-5,676856",Ayuntamiento de Azuaga y FEMPE,Difundida,"En apoyo a Ceuta, todos unidos.",Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Badajoz,Badajoz,Plaza Alta,"Plaza Alta, Badajoz",2026-09-02,20:00,,"38,8812287","-6,9682714",,Confirmada,Recogido de prensa (El Distrito),Publicada,Ambas
Campanario,Badajoz,Plaza de España,"Plaza de España, 06460",2026-09-02,20:00,,"38,863415","-5,617057",,Sin confirmar,,Publicada,Ambas
Don Benito,Badajoz,Plaza de España,,2026-09-02,20:00,,"38,9540269","-5,8619466",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Fregenal de la Sierra,Badajoz,"Paseo de la Constitución, 1","Paseo de la Constitución, 1",2026-09-02,20:00,,"38,166397","-6,652575",ayuntamiento de fregenal de la sierra,Difundida,"Todos Con Ceuta. Organiza el Ayuntamiento, en la puerta de la Casa Consistorial",Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Fuentes de León,Badajoz,Plaza España,,2026-09-02,20:00,,"38,0678042","-6,5231106",Ayuntamiento De Fuentes de Leon,Difundida,,Solo en porceuta.es,porceuta.es
Guadiana del Caudillo,Badajoz,Puerta del Ayuntamiento,"Puerta del Ayuntamiento, 06195",2026-09-02,20:00,,"38,931691","-6,69052",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Jerez de los Caballeros,Badajoz,Plaza del Ayuntamiento,Plaza del Ayuntamiento,2026-09-02,20:00,,"38,320199","-6,771339",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Llerena,Badajoz,"Plaza de España, puerta del Ayuntamiento",,2026-09-02,20:00,,"38,2337","-6,015",Ayuntamiento de Llerena / FEMP,Difundida,,Solo en porceuta.es,porceuta.es
Los Santos de Maimona,Badajoz,"Puerta del Ayuntamiento, Plaza de España","Puerta del Ayuntamiento, Plaza de España",2026-09-02,20:00,,"38,44872","-6,38346",Ayuntamiento de Los Santos de Maimona / FEMP,Difundida,Convocatoria confirmada y detectada en los barridos del 26-27/08/2026; ausente del CSV base de 204 registros.,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Mérida,Badajoz,"Plaza de España, frente al Ayuntamiento","Plaza de España, frente al Ayuntamiento",2026-09-02,12:00,NO son las 20:00,"38,916","-6,3442",Ayuntamiento de Mérida / Corporación Municipal,Difundida,A las 12:00 por la feria de la ciudad.,Publicada,Ambas
Montijo,Badajoz,Plaza España,,2026-09-02,20:00,,"38,9098936","-6,6151799",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Oliva de la Frontera,Badajoz,Plaza del Ayuntamiento,Plaza del Ayuntamiento,2026-09-02,20:00,,"38,276781","-6,919746",,Sin confirmar,,Publicada,Ambas
Solana de los Barros,Badajoz,Plaza de la Constitución,Plaza de la Constitución,2026-09-02,20:00,,"38,725535","-6,538243",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Táliga,Badajoz,Puerta del Ayuntamiento,Puerta del Ayuntamiento,2026-09-02,20:00,,"38,528727","-7,016327",,Sin confirmar,,Publicada,Ambas
Valencia del Mombuey,Badajoz,Plaza de España,Plaza de España,2026-09-02,20:00,,"38,242269","-7,118847",Ayuntamiento,Difundida,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Zalamea de la Serena,Badajoz,Plaza Calderón de la Barca,Plaza Calderón de la Barca,2026-09-02,20:00,,"38,65314","-5,66",,Sin confirmar,,Publicada,Ambas
Alaior,Baleares,Frente al Ayuntamiento,Frente al Ayuntamiento,2026-09-02,20:00,,"39,9304","4,1404",Ayuntamiento de Alaior,Difundida,,Publicada,Ambas
Alcúdia,Baleares,Puerta del Ayuntamiento,Puerta del Ayuntamiento,2026-09-02,20:00,,"39,853247","3,12125",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Andratx,Baleares,Ajuntament d'Andratx,Ajuntament d'Andratx,2026-09-02,20:00,,"39,576232","2,424448",,Sin confirmar,,Publicada,Ambas
Eivissa,Baleares,"Ayuntamiento de Eivissa - Can Botino (Pere Tur, 1)","Ayuntamiento de Eivissa - Can Botino (Pere Tur, 1)",2026-09-02,20:00,,"38,907191","1,437395",,,,Publicada,Listado oficial
Eivissa,Baleares,"Servicio de Atención a la Ciudadanía (SAC), C. Canarias 35",,2026-09-02,20:00,,"38,9086","1,4296",Ayuntamiento de Eivissa / FEMP,Difundida,,Solo en porceuta.es,porceuta.es
Marratxí,Baleares,Plaça de l'Ajuntament,Plaça de l'Ajuntament,2026-09-02,20:00,,"39,626844","2,735933",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Muro,Baleares,Puerta del Ayuntamiento,Puerta del Ayuntamiento,2026-09-02,20:00,,"39,737064","3,056707",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Palma,Baleares,Plaça de Cort,,2026-09-02,20:00,,"39,569615","2,650064",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Palma de Mallorca,Baleares,Plaça de Cort,"Plaça de Cort, Palma de Mallorca",2026-09-02,20:00,,"39,569615","2,650064",,,Recogido de prensa (El Diario de Madrid),Publicada,Listado oficial
Santa Eulària des Riu,Baleares,"Sede del Ajuntament de Santa Eulària, Plaça d'Espanya 1",,2026-09-02,20:00,,"38,9910587","1,474252",Ajuntament de Santa Eulària des Riu / FEMP,Difundida,https://vivirediciones.es/santa-eulalia-del-rio/santa-eularia-concentracion-apoyo-ceuta-septiembre/,Solo en porceuta.es,porceuta.es
Badalona,Barcelona,Plaza de la Vila,"Plaza de la Vila, Badalona",2026-09-02,20:00,,"41,449907","2,2475683",Ayuntamiento de Badalona,Difundida,,Publicada,Ambas
Barcelona,Barcelona,Plaça de Sant Jaume,"Plaça de Sant Jaume, Barcelona",2026-09-02,20:00,,"41,3826","2,17701",PP Barcelona / Daniel Sirera,Confirmada,,Publicada,Ambas
Castelldefels,Barcelona,Plaça de l'Església,Plaça de l'Església,2026-09-02,20:00,,"41,280551","1,977078",Ajuntament de Castelldefels / FEMP,Difundida,,Publicada,Ambas
Cornella de Llobregat,Barcelona,"Plaza de la Iglesia, frente al ayuntamiento",,2026-09-02,20:00,,"41,355724","2,0706225",,Sin confirmar,,Solo en porceuta.es,porceuta.es
